Method,Return,Seed,Step,Task
ReLU,-5.0,0,1090,Pixelcopter-PLE-v0
ReLU,-5.0,0,1097,Pixelcopter-PLE-v0
ReLU,-4.0,0,1109,Pixelcopter-PLE-v0
ReLU,-4.0,0,1121,Pixelcopter-PLE-v0
ReLU,-4.0,0,1131,Pixelcopter-PLE-v0
ReLU,-4.0,0,1143,Pixelcopter-PLE-v0
ReLU,-5.0,0,1149,Pixelcopter-PLE-v0
ReLU,5.0,0,1209,Pixelcopter-PLE-v0
ReLU,-5.0,0,1216,Pixelcopter-PLE-v0
ReLU,2.0,0,1263,Pixelcopter-PLE-v0
ReLU,0.0,0,1300,Pixelcopter-PLE-v0
ReLU,-5.0,0,1309,Pixelcopter-PLE-v0
ReLU,-4.0,0,1321,Pixelcopter-PLE-v0
ReLU,-4.0,0,1332,Pixelcopter-PLE-v0
ReLU,-4.0,0,1345,Pixelcopter-PLE-v0
ReLU,-4.0,0,1357,Pixelcopter-PLE-v0
ReLU,-4.0,0,1372,Pixelcopter-PLE-v0
ReLU,-2.0,0,1396,Pixelcopter-PLE-v0
ReLU,-4.0,0,1406,Pixelcopter-PLE-v0
ReLU,0.0,0,1441,Pixelcopter-PLE-v0
ReLU,0.0,0,1477,Pixelcopter-PLE-v0
ReLU,-2.0,0,1502,Pixelcopter-PLE-v0
ReLU,-2.0,0,1526,Pixelcopter-PLE-v0
ReLU,-5.0,0,1532,Pixelcopter-PLE-v0
ReLU,5.0,0,1600,Pixelcopter-PLE-v0
ReLU,-2.0,0,1622,Pixelcopter-PLE-v0
ReLU,-2.0,0,1644,Pixelcopter-PLE-v0
ReLU,1.0,0,1689,Pixelcopter-PLE-v0
ReLU,1.0,0,1731,Pixelcopter-PLE-v0
ReLU,6.0,0,1804,Pixelcopter-PLE-v0
ReLU,1.0,0,1846,Pixelcopter-PLE-v0
ReLU,-1.0,0,1876,Pixelcopter-PLE-v0
ReLU,2.0,0,1924,Pixelcopter-PLE-v0
ReLU,5.0,0,1986,Pixelcopter-PLE-v0
ReLU,2.0,0,2037,Pixelcopter-PLE-v0
ReLU,7.0,0,2112,Pixelcopter-PLE-v0
ReLU,3.0,0,2168,Pixelcopter-PLE-v0
ReLU,-1.0,0,2197,Pixelcopter-PLE-v0
ReLU,2.0,0,2250,Pixelcopter-PLE-v0
ReLU,13.0,0,2365,Pixelcopter-PLE-v0
ReLU,-2.0,0,2391,Pixelcopter-PLE-v0
ReLU,-1.0,0,2423,Pixelcopter-PLE-v0
ReLU,-2.0,0,2448,Pixelcopter-PLE-v0
ReLU,0.0,0,2485,Pixelcopter-PLE-v0
ReLU,-1.0,0,2514,Pixelcopter-PLE-v0
ReLU,-1.0,0,2543,Pixelcopter-PLE-v0
ReLU,6.0,0,2612,Pixelcopter-PLE-v0
ReLU,-2.0,0,2640,Pixelcopter-PLE-v0
ReLU,-1.0,0,2672,Pixelcopter-PLE-v0
ReLU,-1.0,0,2701,Pixelcopter-PLE-v0
ReLU,4.0,0,2765,Pixelcopter-PLE-v0
ReLU,-1.0,0,2796,Pixelcopter-PLE-v0
ReLU,-1.0,0,2828,Pixelcopter-PLE-v0
ReLU,0.0,0,2864,Pixelcopter-PLE-v0
ReLU,-1.0,0,2895,Pixelcopter-PLE-v0
